Word,Classification,Number,NumericInterpretedWord
goddess,0,22220400,goddess
portrait,0,22220400,portrait
ismail,0,22220400,ismail
inceoglu,0,11110200,inceoglu
of,0,11110000,of
king,0,22220001,king
candy,0,22220400,candy
mr,0,11110000,mr
harry,0,22220052,harry
haribo,0,22220400,haribo
oil,0,22220000,oil
painting,0,22220500,painting
bloody,3,66660420,bloody
conquest,3,22220402,conquest
tap,0,33330105,tap
e,0,11110000,e
super,0,11110501,super
epic,0,22220200,epic
realistic,0,22220420,realistic
nature,0,22220002,nature
photo,0,22220300,photo
trending,0,22220300,trending
on,0,11110000,on
instagram,0,22220300,instagram
with,0,11110000,with
lonely,0,22220400,lonely
person,0,22220000,person
in,0,11110000,in
yellow,0,22220001,yellow
raincoat,0,22220301,raincoat
standing,0,33330100,standing
at,0,11110000,at
a,0,11110000,a
distance,0,22220300,distance
beautiful,0,22220100,beautiful
princess,0,22220400,princess
wearing,0,33330000,wearing
evil,0,22220375,evil
black,0,22220120,black
oily,0,22220022,oily
tar,0,22220400,tar
by,0,11110000,by
hr,0,11110400,hr
giger,0,22220305,giger
greg,0,11110200,greg
rutkowski,0,22220400,rutkowski
luis,0,11110000,luis
royo,0,11110400,royo
and,0,11110000,and
wayne,0,22220100,wayne
barlowe,0,22220600,barlowe
8,0,11110000,8
k,0,11110000,k
mountains,0,22220400,mountains
lake,0,22220400,lake
walley,0,22220405,walley
liminal,0,22220305,liminal
emperor,0,22220500,emperor
palpatine,0,22220405,palpatine
the,0,11110000,the
desert,0,22220012,desert
tatooine,0,22220410,tatooine
film,0,22221100,film
still,0,33330000,still
wide,0,22220000,wide
shot,3,66660412,shot
heat,0,33331102,heat
sci,0,11110000,sci
fi,0,11110000,fi
dramatic,0,22220400,dramatic
light,0,22220004,light
young,0,22220003,young
mark,0,33330000,mark
hamill,0,22220002,hamill
as,0,11110000,as
child,0,22220100,child
star,0,22220301,star
wars,3,22221500,wars
clothes,0,22220000,clothes
made,0,33330004,made
out,0,11110000,out
eyes,0,22220002,eyes
angle,0,22220004,angle
full,0,11110000,full
body,0,22220300,body
bee,0,22220100,bee
art,0,22220001,art
sketch,0,33330205,sketch
alien,1,22220402,alien
ship,0,22220401,ship
cyberpunk,0,22221001,cyberpunk
dread,0,33330112,dread
paul,0,11110000,paul
cezanne,0,22220402,cezanne
azeroth,0,22221100,azeroth
sunset,0,22220400,sunset
anime,0,22220500,anime
bladerunner,0,22220600,bladerunner
2,0,11110000,2
0,0,11110000,0
4,0,11110000,4
9,0,11110001,9
uv,0,11110000,uv
tokyo,0,22220500,tokyo
dawn,0,22220200,dawn
synthwave,0,22220301,synthwave
sunlight,0,22220300,sunlight
neon,0,22220301,neon
signs,0,22220405,signs
hyperrealism,0,22220400,hyperrealism
dusk,0,22220401,dusk
retrowave,0,22220600,retrowave
lightpaint,0,33330034,lightpaint
universe,0,22220401,universe
cosmic,0,22220400,cosmic
biopunk,0,22220450,biopunk
meadow,0,22220405,meadow
tundra,0,22220400,tundra
flowers,0,22220400,flowers
water,0,22220002,water
studio,0,22220002,studio
ghibli,0,22220011,ghibli
liberty,0,22220401,liberty
city,0,22220000,city
gem,0,22221000,gem
laser,0,22220401,laser
bioshock,3,22220400,bioshock
archdaily,0,22221405,archdaily
wallpaper,0,22220023,wallpaper
highly,0,11110000,highly
detailed,2,22220100,detailed
artstation,0,22220000,artstation
d,0,11110000,d
character,0,22220003,character
design,0,22220025,design
male,0,22220410,male
rapper,2,33331106,rapper
vector,0,22220401,vector
digital,0,22220401,digital
sharp,0,33332045,sharp
focus,0,33330005,focus
smooth,0,22220010,smooth
illustration,0,22221301,illustration
concept,0,22220300,concept
music,0,22220900,music
artist,0,22220010,artist
woman,0,22220401,woman
night,0,22220400,night
gown,0,22220002,gown
sam,0,11110000,sam
spratt,0,22220400,spratt
dirk,3,44440045,dirk
sputtly,0,22220401,sputtly
cottagecore,0,22221100,cottagecore
dress,0,22220400,dress
marble,0,22220500,marble
statue,0,22220001,statue
ultra,0,22220200,ultra
golden,0,22220001,golden
hour,0,22220002,hour
indoors,0,11110000,indoors
f,0,11110000,f
1,0,11110000,1
high,0,11110000,high
quality,0,22220600,quality
neoclassical,0,22220600,neoclassical
cat,0,22220001,cat
dressed,0,33330000,dressed
napoleon,0,22220300,napoleon
bonaparte,0,22220022,bonaparte
very,0,11110000,very
6,0,11110000,6
canvas,0,22220400,canvas
proud,0,22220400,proud
cthulhu,0,22220405,cthulhu
posing,0,33330200,posing
pixiv,0,22220400,pixiv
fanbox,0,22220300,fanbox
lighting,0,22220204,lighting
maximalist,0,22220500,maximalist
rainbow,0,22220400,rainbow
color,0,22221100,color
palette,0,22220801,palette
splatter,3,66660440,splatter
paint,0,33330100,paint
pixar,0,22220022,pixar
disney,0,22220001,disney
graphic,0,33330125,graphic
novel,0,22220300,novel
fiona,0,22220400,fiona
staples,0,22220402,staples
dustin,0,22220100,dustin
nguyen,0,22220100,nguyen
peter,0,22221100,peter
elson,0,22220400,elson
alan,0,11110001,alan
bean,0,22220900,bean
wangechi,0,22220401,wangechi
mutu,0,22220400,mutu
clean,0,22220000,clean
cel,0,11110200,cel
shaded,0,33330012,shaded
cute,0,22220100,cute
cabbage,0,22220000,cabbage
dog,0,22220000,dog
symmetrical,0,22220300,symmetrical
clear,0,11110100,clear
facial,0,33331025,facial
features,0,22220402,features
call,0,33330004,call
wild,0,22221100,wild
fantasy,0,22220100,fantasy
rembrandt,0,22220301,rembrandt
mood,0,22220400,mood
cinematic,0,22220400,cinematic
closeup,0,33330500,closeup
view,0,33330004,view
miyazaki,0,22220405,miyazaki
hayao,0,22220400,hayao
rinotuna,0,22220500,rinotuna
rendered,0,33330004,rendered
cinema,0,22220402,cinema
mechwarrior,0,22220300,mechwarrior
yugi,0,22220001,yugi
oh,0,11110000,oh
lot,0,11110000,lot
cables,0,22220300,cables
wires,0,22220410,wires
around,0,11110000,around
bymark,0,11110402,bymark
brooks,0,22220010,brooks
zdzisław,0,11110200,zdzisław
beksinski,0,33330004,beksinski
takato,0,22220200,takato
yamamoto,0,22220300,yamamoto
vintage,0,22220300,vintage
s,0,11110000,s
tempting,0,33330101,tempting
lee,0,11110400,lee
jin,0,22220012,jin
eun,0,11110400,eun
an,0,11110000,an
priness,0,22220034,priness
scifi,0,22220401,scifi
ferdinand,0,22220410,ferdinand
knab,0,33330230,knab
tom,0,11110200,tom
bagshaw,0,22220300,bagshaw
global,0,22221100,global
illumination,0,22220403,illumination
radiant,0,22220410,radiant
multiversal,0,22220300,multiversal
environment,0,22220002,environment
intricate,0,22220004,intricate
hyper,0,22220000,hyper
biomechanical,0,22221305,biomechanical
porcelain,0,22220003,porcelain
close,0,33330000,close
up,0,11110000,up
iris,0,22220301,iris
van,0,22220401,van
herpen,0,33330295,herpen
haute,0,22220300,haute
couture,0,22220034,couture
coral,0,22220401,coral
flower,0,22220010,flower
headdress,0,22220500,headdress
fractal,0,22220100,fractal
tendrils,0,22220400,tendrils
rhizomorphs,0,22220600,rhizomorphs
brackets,0,22221100,brackets
colorful,0,11110401,colorful
corals,0,22220003,corals
mushrooms,0,22220600,mushrooms
puffballs,0,22220302,puffballs
octane,0,22220301,octane
render,0,33330100,render
hd,0,11110000,hd
mount,0,33330301,mount
violet,0,22220405,violet
netherwing,0,22220407,netherwing
drake,0,22220405,drake
screenshot,0,22220300,screenshot
world,0,22220400,world
warcraft,0,22221300,warcraft
mounts,0,33330100,mounts
worldboss,0,22220402,worldboss
bioluminecant,0,22220800,bioluminecant
feng,0,22220400,feng
zhu,0,11110020,zhu
alena,0,22220020,alena
aenami,0,11110200,aenami
artworks,0,22220803,artworks
beeple,0,22220100,beeple
thomas,0,22220002,thomas
kinkade,0,33330101,kinkade
heartstone,0,22221310,heartstone
overwatch,0,22221104,overwatch
blizzard,0,22220400,blizzard
3,0,11110000,3
rtx,0,11110000,rtx
hdr,0,11110002,hdr
ivory,0,22221500,ivory
dark,0,22220201,dark
magician,0,22220003,magician
comic,0,22220300,comic
manga,0,22220400,manga
road,0,22220300,road
volumetric,0,22220002,volumetric
alejandro,0,22220500,alejandro
alvarez,0,22220400,alvarez
hearstone,0,22220320,hearstone
league,0,22220300,league
legends,0,22220400,legends
dofus,0,22220405,dofus
dragon,0,22220400,dragon
queen,0,22220400,queen
vicious,3,33330225,vicious
war,3,66660401,war
kodo,0,33330200,kodo
rock,0,22220200,rock
singer,0,22220401,singer
man,0,22220110,man
vs,0,11110000,vs
himself,0,11110400,himself
insanely,0,22220012,insanely
ultrafine,0,22220300,ultrafine
rozalski,0,22220400,rozalski
craig,0,22220004,craig
mullins,0,22220200,mullins
federico,0,22220010,federico
pelat,0,22220301,pelat
unreal,0,22220800,unreal
engine,0,22220400,engine
for,0,11110000,for
movie,0,22220100,movie
terrence,0,22220901,terrence
malick,0,22220300,malick
perfectly,0,11110000,perfectly
centered,0,22220002,centered
front,0,22220400,front
android,0,22220400,android
robot,0,22220500,robot
skull,3,33330205,skull
female,0,22220400,female
flowing,0,33332200,flowing
hair,0,22220000,hair
intense,0,33330200,intense
stare,0,33330201,stare
sarcastic,0,22220401,sarcastic
smile,0,33330200,smile
detail,0,22220300,detail
shadows,0,22220400,shadows
tim,0,11110400,tim
hildebrandt,0,22220500,hildebrandt
cyborg,0,22220405,cyborg
daisies,0,22220401,daisies
journey,0,22220004,journey
to,0,11110000,to
west,0,22220100,west
alex,0,11110000,alex
ross,0,22220300,ross
alphonse,0,22220300,alphonse
mucha,0,22220405,mucha
ayami,0,22220402,ayami
kojima,0,22220100,kojima
amano,0,22220400,amano
masculine,0,22221601,masculine
nouveau,0,22220500,nouveau
neo,0,22220001,neo
gothic,0,22220300,gothic
dynamic,0,22220010,dynamic
stylised,0,22220100,stylised
disco,0,22220800,disco
elysium,0,22220300,elysium
manor,0,22220400,manor
building,0,22220004,building
unfinished,0,22220000,unfinished
urbex,1,33330415,urbex
architecture,0,22220410,architecture
abandoned,0,33330005,abandoned
industrial,0,22220800,industrial
ludwig,0,22220400,ludwig
mies,0,11110400,mies
der,0,11110000,der
rohe,0,22220101,rohe
apocalyptic,0,22221100,apocalyptic
otherworldly,0,22220400,otherworldly
postcyberpunk,0,33330801,postcyberpunk
glass,0,22220400,glass
summer,0,22220400,summer
scumm,2,55550745,scumm
bar,0,22220030,bar
fair,0,22221100,fair
face,0,22220100,face
conqueror,3,33330210,conqueror
scythemaw,0,33332665,scythemaw
stunning,0,33330400,stunning
professional,0,22220600,professional
starship,0,22220400,starship
astronaut,0,22220301,astronaut
spacesuit,0,22220800,spacesuit
leesha,0,11110000,leesha
hannigan,0,22220600,hannigan
cgsociety,0,22220401,cgsociety
wlop,0,11110000,wlop
much,0,11110000,much
wow,0,11110000,wow
gorgeous,0,22220011,gorgeous
masterpiece,0,22220405,masterpiece
syrup,0,22220301,syrup
bottle,0,22220400,bottle
crashing,3,33330100,crashing
into,0,11110000,into
twin,0,22220400,twin
towers,0,22220400,towers
pancakes,0,22220400,pancakes
diana,0,22220400,diana
huntress,0,33330301,huntress
ultrarealistic,0,22221305,ultrarealistic
uncropped,0,22220415,uncropped
uncrop,0,33330100,uncrop
patios,0,22220300,patios
deck,0,22220012,deck
doig,0,33330700,doig
fall,0,33330100,fall
arches,0,22220403,arches
herbs,0,22220400,herbs
bear,0,22220000,bear
suit,0,22220001,suit
abstract,0,22220400,abstract
watercolor,0,22220400,watercolor
through,0,22220001,through
curtain,0,22220400,curtain
window,0,22220020,window
silverware,0,22220100,silverware
national,0,22220001,national
romanticism,0,22220400,romanticism
anders,0,22220003,anders
zorn,0,33330023,zorn
photorealistic,0,22220400,photorealistic
post,0,22220002,post
office,0,22220000,office
renzo,0,22221100,renzo
piano,0,22220400,piano
extraterrestial,0,22220100,extraterrestial
vaporwave,0,22221105,vaporwave
elysian,0,22220401,elysian
reclaimed,0,33332012,reclaimed
magic,0,22220415,magic
realism,0,22220300,realism
myst,0,22220402,myst
wilderness,0,22220350,wilderness
elegant,0,22220401,elegant
skin,0,22220300,skin
mechanoid,0,22220450,mechanoid
icy,0,11110300,icy
blue,0,22220011,blue
mechanostrider,0,22220064,mechanostrider
mod,0,22220100,mod
she,0,11110000,she
makes,0,33330006,makes
deep,0,33330200,deep
boil,0,33330004,boil
about,0,11110000,about
casually,0,11110000,casually
women,0,22220405,women
humans,0,22220401,humans
dirty,2,33333405,dirty
seaside,0,22220004,seaside
town,0,22220000,town
globster,0,22220405,globster
song,0,22220003,song
from,0,11110000,from
low,0,11110000,low
budget,0,22220000,budget
hunting,3,22220410,hunting
hybridizing,0,33331102,hybridizing
invasion,3,22221435,invasion
science,0,22220001,science
fiction,0,22220002,fiction
roger,0,22220200,roger
corman,0,22220401,corman
assimilating,0,33331104,assimilating
military,0,22220400,military
vehicles,0,22220100,vehicles
weapons,3,44440345,weapons
daniel,0,22220400,daniel
burnham,0,22220401,burnham
morning,0,22220102,morning
sun,0,22220000,sun
nightvision,0,22220100,nightvision
thermal,0,22220001,thermal
imaging,0,33330102,imaging
darkacademia,0,22222400,darkacademia
infrared,0,22221100,infrared
forest,0,22220002,forest
you,0,11110000,you
are,0,11110000,are
open,0,33331100,open
field,0,22221100,field
white,0,22220000,white
house,0,22220000,house
boarded,0,33330305,boarded
door,0,22220400,door
there,0,11110000,there
is,0,11110000,is
small,0,22220004,small
mailbox,0,22220300,mailbox
here,0,11110000,here
first,0,11110000,first
day,0,11110000,day
midsummer,0,22220300,midsummer
scandinavia,0,22220100,scandinavia
lens,0,22220500,lens
landscape,0,22220410,landscape
photograph,0,22220400,photograph
bioluminescent,0,22220420,bioluminescent
mushroom,0,22220400,mushroom
jungle,0,22220030,jungle
natural,0,22220400,natural
pentax,0,22220900,pentax
ii,0,11110000,ii
futuristic,0,22220904,futuristic
prism,0,22220000,prism
shaped,0,33330200,shaped
warship,3,33331103,warship
spaceship,0,22220415,spaceship
designed,0,33330710,designed
apple,0,22220000,apple
railguns,3,22220605,railguns
flying,0,33330002,flying
above,0,11110000,above
ozzimo,0,22221101,ozzimo
deviantart,0,22220305,deviantart
closet,0,22220300,closet
eero,0,11110000,eero
saarinen,0,22220103,saarinen
island,0,22220300,island
winter,0,22220100,winter
tron,0,22220400,tron
vibrant,0,22220100,vibrant
glowing,0,22220400,glowing
pitch,0,33330102,pitch
sky,0,22220001,sky
angular,0,22220100,angular
cannonsiin,0,33331405,cannonsiin
battle,3,33330700,battle
game,0,22220002,game
frederic,0,22220000,frederic
edwin,0,22220001,edwin
church,0,22220500,church
atlantis,0,22220400,atlantis
viking,0,22220400,viking
monument,0,22220400,monument
stone,0,22220401,stone
wood,0,22220400,wood
magical,0,22220012,magical
traditional,0,22220500,traditional
bauhaus,0,22220300,bauhaus
geometric,0,22220400,geometric
snow,0,22220000,snow
moon,0,22220000,moon
diner,0,22220400,diner
steampunk,0,22220715,steampunk
nicoletta,0,22220205,nicoletta
ceccoli,0,22220100,ceccoli
ryden,0,22222800,ryden
lostfish,0,22220400,lostfish
max,0,11110400,max
fleischer,0,22220802,fleischer
matte,0,22220400,matte
vivid,0,22220802,vivid
colors,0,22220400,colors
bright,0,22220401,bright
cheerful,0,22220000,cheerful
landscaping,0,22220100,landscaping
company,0,22220010,company
called,0,33330000,called
norwegian,0,22220901,norwegian
fjord,0,22220012,fjord
wolf,0,22220400,wolf
prix,0,11110000,prix
nightsky,0,22220100,nightsky
nurse,0,22220300,nurse
hat,0,22220002,hat
asylum,0,22220700,asylum
background,0,22220000,background
glossy,0,22220400,glossy
birthday,0,22220300,birthday
establishing,0,22220500,establishing
jordan,0,22220400,jordan
grimmer,0,33330505,grimmer
jean,0,22221100,jean
delville,0,22220001,delville
fisheye,0,22221500,fisheye
retro,0,22220000,retro
junglepunk,0,22220100,junglepunk
green,0,22220002,green
shirt,0,22220000,shirt
sunglasses,0,22220500,sunglasses
driving,0,33330000,driving
down,0,33330000,down
street,0,22220400,street
seductive,2,33332105,seductive
medium,0,22220400,medium
point,0,33330102,point
alexandre,0,22220400,alexandre
ferra,0,22220401,ferra
mecha,0,22220301,mecha
mechanical,0,22220000,mechanical
huge,0,22220012,huge
mycelum,0,22221600,mycelum
fungi,0,22220400,fungi
filigree,0,22220000,filigree
lace,0,22220400,lace
rasberry,0,22220100,rasberry
chili,0,22220400,chili
red,0,22220401,red
sponge,0,22220300,sponge
magnolia,0,22220100,magnolia
goliath,0,22220400,goliath
head,0,22220200,head
ornaments,0,22220300,ornaments
big,0,22220025,big
embroidered,0,22220400,embroidered
leaves,0,22220901,leaves
sinuous,0,33330300,sinuous
roots,0,22220400,roots
renaissance,0,22220410,renaissance
greek,0,22220300,greek
temple,0,22220300,temple
hyperdetailed,0,22220400,hyperdetailed
factory,0,22220002,factory
frederick,0,22220801,frederick
mccubbin,0,22220050,mccubbin
poppy,0,22220405,poppy
galactic,0,22220400,galactic
assassin,3,66660350,assassin
creed,0,22220401,creed
venus,0,22220301,venus
tarot,0,22220315,tarot
card,0,22220400,card
wise,0,33330000,wise
arrogant,0,33330101,arrogant
horror,3,33330045,horror
court,0,22220400,court
owls,0,22220004,owls
desaturated,0,22220300,desaturated
muted,0,22220300,muted
valley,0,22220400,valley
qiraji,0,22220900,qiraji
tank,0,22220030,tank
roman,0,22220400,roman
god,0,22220400,god
drone,0,22220525,drone
arne,0,22220100,arne
jacobsen,0,22221101,jacobsen
complex,0,22220402,complex
scandinavian,0,22220400,scandinavian
covered,0,33330302,covered
moss,0,22220400,moss
runes,0,33330100,runes
guy,0,22220000,guy
orange,0,22220500,orange
houses,0,22220400,houses
hedonic,0,33330012,hedonic
palace,0,22220000,palace
manchess,0,22220401,manchess
joyful,0,22220400,joyful
massive,0,22221300,massive
infested,0,33330555,infested
rodents,0,22220400,rodents
aesthetic,0,22221800,aesthetic
fire,0,33330305,fire
toyo,0,11110200,toyo
ito,0,11110004,ito
details,0,22220003,details
mm,0,11110000,mm
five,0,11110002,five
layers,0,22220004,layers
keyboard,0,22220032,keyboard
extreme,0,33330070,extreme
family,0,22220400,family
enjoying,0,33330060,enjoying
wine,0,22220400,wine
mooncake,0,22220302,mooncake
together,0,22220000,together
moonfestival,0,22220301,moonfestival
decoration,0,22220400,decoration
mid,0,11110000,mid
autumn,0,22220500,autumn
fesitval,0,22220000,fesitval
artgem,0,22220405,artgem
victo,0,22220002,victo
ngai,0,11110000,ngai
makoto,0,22220402,makoto
shinkai,0,22220400,shinkai
klimt,0,22220100,klimt
nixeu,0,11110000,nixeu
ian,0,11110003,ian
sprigger,0,33332035,sprigger
krenz,0,22220600,krenz
cushart,0,22220605,cushart
humanoid,0,22220400,humanoid
rhizomorph,0,22221020,rhizomorph
finials,0,22220100,finials
spires,0,22220405,spires
broad,0,22220000,broad
all,0,11110000,all
another,0,11110000,another
brick,0,22220405,brick
wall,0,22220100,wall
camera,0,22220300,camera
doctor,0,22220400,doctor
strange,0,22220400,strange
long,0,22220100,long
shadow,0,22220408,shadow
esperanto,0,22220300,esperanto
flag,0,22220002,flag
multiple,0,22220002,multiple
dimensions,0,22220024,dimensions
shattered,3,33330405,shattered
refractions,0,33330102,refractions
environmental,0,22222024,environmental
francis,0,22220400,francis
tnehunreal,0,22220500,tnehunreal
nvidia,0,22220100,nvidia
lord,0,22220500,lord
car,0,22220000,car
couple,0,22220400,couple
romantic,0,22220301,romantic
moment,0,22220001,moment
while,0,11110000,while
gazing,0,33330200,gazing
sipping,0,33330040,sipping
style,0,22220004,style
crystalline,0,22220100,crystalline
lattice,0,22220402,lattice
ultrahd,0,22221103,ultrahd
village,0,22220004,village
carlo,0,22220301,carlo
stanga,0,22220305,stanga
noir,0,22220500,noir
rainforest,0,22220301,rainforest
tumblr,0,22220011,tumblr
rendering,0,33330800,rendering
athenaeum,0,22220405,athenaeum
john,0,22220400,john
howe,0,11110000,howe
jupiter,0,22220012,jupiter
heron,0,22220400,heron
ukiyo,0,22220500,ukiyo
award,0,22220600,award
winning,0,33330200,winning
screen,0,22220400,screen
printing,0,22220500,printing
5,0,11110000,5
bathroom,0,22220012,bathroom
norman,0,22220300,norman
foster,0,22220300,foster
sea,0,22220010,sea
vision,0,22220401,vision
home,0,22220000,home
storm,3,22220400,storm
mysterious,0,33330720,mysterious
representation,0,22220400,representation
dancing,0,33330020,dancing
smoke,0,33330415,smoke
figure,0,33330100,figure
curling,0,33330100,curling
wispy,0,33330025,wispy
